Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
44421460,"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Geoffrey Trousselot,"=""1529029589""","=""9781529029581""",0,3.74,Picador,Paperback,213,2019,2015,,2022/04/08,to-read,to-read (#84),to-read,,,,0,,,0,,,,,
41057294,Normal People,Sally Rooney,"Rooney, Sally",,"=""1984822179""","=""9781984822178""",0,3.85,Hogarth Press,Hardcover,273,2019,2018,,2022/04/05,to-read,to-read (#83),to-read,,,,0,,,0,,,,,
40597810,Daisy Jones & The Six,Taylor Jenkins Reid,"Reid, Taylor Jenkins","Jennifer Beals, Benjamin Bratt, Judy Greer, Pablo Schreiber","=""1524798622""","=""9781524798628""",0,4.24,Ballantine Books,Hardcover,355,2019,2019,,2022/03/31,to-read,to-read (#82),to-read,,,,0,,,0,,,,,
24213,Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,"Carroll, Lewis","John Tenniel, Martin Gardner","=""0451527747""","=""9780451527745""",0,4.06,Penguin Group (USA),Paperback,239,2000,1871,,2022/03/31,to-read,to-read (#81),to-read,,,,0,,,0,,,,,
8127,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,"Montgomery, L.M.",,"=""0451528824""","=""9780451528827""",0,4.28,Signet Book,Paperback,320,2003,1908,,2022/03/31,to-read,to-read (#80),to-read,,,,0,,,0,,,,,
24280,Les Misérables,Victor Hugo,"Hugo, Victor","Lee Fahnestock, Norman MacAfee","=""""","=""""",0,4.19,Penguin,Mass Market Paperback,1463,1987,1862,,2022/03/31,to-read,to-read (#79),to-read,,,,0,,,0,,,,,
7144,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor","David McDuff, Nina Guerra, Filipe Guerra","=""0143058142""","=""9780143058144""",0,4.24,Penguin,Paperback,671,2002,1866,,2022/03/31,to-read,to-read (#78),to-read,,,,0,,,0,,,,,
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",0,4.19,Houghton Mifflin Harcourt,Kindle Edition,298,2013,1949,,2022/03/31,to-read,to-read (#77),to-read,,,,0,,,0,,,,,
10210,Jane Eyre,Charlotte Brontë,"Brontë, Charlotte","Michael Mason, M. Von Borch","=""0142437204""","=""9780142437209""",0,4.14,Penguin,Paperback,532,2003,1847,,2022/03/31,to-read,to-read (#76),to-read,,,,0,,,0,,,,,
52843028,"The Mysterious Affair at Styles (Hercule Poirot, #1)",Agatha Christie,"Christie, Agatha",,"=""1734452595""","=""9781734452594""",0,3.99,Warbler Classics,Paperback,174,2020,1920,,2022/03/31,to-read,to-read (#75),to-read,,,,0,,,0,,,,,
22034,"The Godfather (The Godfather, #1)",Mario Puzo,"Puzo, Mario","Robert Thompson, Peter Bart","=""""","=""""",0,4.37,NAL,Paperback,448,2002,1969,,2022/03/31,to-read,to-read (#74),to-read,,,,0,,,0,,,,,
